"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1","32",0.000125,0.01,0,0.853114384669378,0.612316894369668,0.677038736121866,"C2",2,5,"R02_F05","C2_R02_F05"
"ANN_L2","32",0.000125,0,1e-05,0.862383789852946,0.617112925917734,0.674208642400781,"C2",2,5,"R02_F05","C2_R02_F05"
"ANN_L1_L2","32",0.000125,0.01,0.01,0.852949241181941,0.612422967252035,0.676788672769265,"C2",2,5,"R02_F05","C2_R02_F05"
"ANN_0","32-16",0.000125,0,0,0.833642815789291,0.65039962632528,0.659565813039342,"C2",3,1,"R03_F01","C2_R03_F01"
"ANN_L1","32-16",0.000125,0.001,0,0.848107956415844,0.641873511491935,0.673338561011059,"C2",3,1,"R03_F01","C2_R03_F01"
"ANN_L2","32-16",0.000125,0,1e-04,0.851918442975705,0.63738537666703,0.675484520303857,"C2",3,1,"R03_F01","C2_R03_F01"
"ANN_L1_L2","32-16",0.000125,0.001,1e-04,0.848203960114242,0.641668542337812,0.673617263460675,"C2",3,1,"R03_F01","C2_R03_F01"
"ANN_0","64-32",0.00025,0,0,0.79870224579626,0.643333720198902,0.636943943541791,"C2",3,2,"R03_F02","C2_R03_F02"
"ANN_L1","64-32",0.00025,0.001,0,0.808173387228781,0.631604734040256,0.638905567027046,"C2",3,2,"R03_F02","C2_R03_F02"
"ANN_L2","64-32",0.00025,0,0.01,0.809886476614152,0.629800028009033,0.63876921665578,"C2",3,2,"R03_F02","C2_R03_F02"
"ANN_L1_L2","64-32",0.00025,0.001,0.01,0.807722464168308,0.632473757971927,0.639069564293626,"C2",3,2,"R03_F02","C2_R03_F02"
"ANN_0","32-16",0.000125,0,0,0.834036819006994,0.647090504147732,0.661455537519154,"C2",3,3,"R03_F03","C2_R03_F03"
"ANN_L1","32-16",0.000125,0.001,0,0.846465645593615,0.652702598558935,0.664572536651139,"C2",3,3,"R03_F03","C2_R03_F03"
"ANN_L2","32-16",0.000125,0,0.01,0.849166602655359,0.651157874010161,0.667980912199731,"C2",3,3,"R03_F03","C2_R03_F03"
"ANN_L1_L2","32-16",0.000125,0.001,1e-04,0.844883644400766,0.652713057854092,0.663128072274879,"C2",3,3,"R03_F03","C2_R03_F03"
"ANN_0","64-32",0.000125,0,0,0.838195635300962,0.63523604768166,0.666782889201361,"C2",3,4,"R03_F04","C2_R03_F04"
"ANN_L1","64-32",0.000125,0.001,0,0.841669326981892,0.636837766498062,0.66683605817389,"C2",3,4,"R03_F04","C2_R03_F04"
"ANN_L2","64-32",0.000125,0,1e-05,0.846827025940778,0.633296465654804,0.67205789506638,"C2",3,4,"R03_F04","C2_R03_F04"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.841547490800068,0.636933867115093,0.666356700270206,"C2",3,4,"R03_F04","C2_R03_F04"
"ANN_0","32",0.000125,0,0,0.837957131805183,0.639330195685745,0.665433212877014,"C2",3,5,"R03_F05","C2_R03_F05"
"ANN_L1","32",0.000125,0.01,0,0.838031336249693,0.634449726564255,0.661868385129469,"C2",3,5,"R03_F05","C2_R03_F05"
"ANN_L2","32",0.000125,0,0.01,0.839769578587151,0.629732778505929,0.663387081168425,"C2",3,5,"R03_F05","C2_R03_F05"
"ANN_L1_L2","32",0.000125,0.01,1e-05,0.838022729677443,0.634461005378324,0.661861738263836,"C2",3,5,"R03_F05","C2_R03_F05"
"ANN_0","64-32",0.000125,0,0,0.818834527915867,0.66032483687368,0.650293956477048,"C2",4,1,"R04_F01","C2_R04_F01"
"ANN_L1","64-32",0.000125,0.001,0,0.825855686958991,0.655231420810627,0.658211366771541,"C2",4,1,"R04_F01","C2_R04_F01"
"ANN_L2","64-32",0.000125,0,0.01,0.832874361248593,0.648223292630744,0.663673769941245,"C2",4,1,"R04_F01","C2_R04_F01"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.824477897431988,0.656282848556149,0.657384647781894,"C2",4,1,"R04_F01","C2_R04_F01"
"ANN_0","64-32",0.000125,0,0,0.807204496438341,0.655777256610041,0.639812445941192,"C2",4,2,"R04_F02","C2_R04_F02"
"ANN_L1","64-32",0.000125,0.001,0,0.801936804616968,0.661283860551865,0.632853818319764,"C2",4,2,"R04_F02","C2_R04_F02"
"ANN_L2","64-32",0.000125,0,0.01,0.802266995635058,0.661564649655341,0.634871753396967,"C2",4,2,"R04_F02","C2_R04_F02"
"ANN_L1_L2","64-32",0.000125,0.001,1e-05,0.802149211182157,0.661098674118149,0.633079489236404,"C2",4,2,"R04_F02","C2_R04_F02"
"ANN_0","64-32",0.00025,0,0,0.845447549313193,0.647755436105371,0.661658129710869,"C2",4,3,"R04_F03","C2_R04_F03"
"ANN_L1","64-32",0.00025,1e-04,0,0.852140307604493,0.648598890315584,0.668479887133262,"C2",4,3,"R04_F03","C2_R04_F03"
"ANN_L2","64-32",0.00025,0,0.01,0.852004022491483,0.648682834087481,0.668413811866761,"C2",4,3,"R04_F03","C2_R04_F03"
"ANN_L1_L2","64-32",0.00025,1e-04,0.001,0.852030487409279,0.648663165704492,0.668208702279355,"C2",4,3,"R04_F03","C2_R04_F03"
"ANN_0","64-32",0.000125,0,0,0.824036168242427,0.632254720012483,0.653138973342547,"C2",4,4,"R04_F04","C2_R04_F04"
"ANN_L1","64-32",0.000125,0.001,0,0.816736848121166,0.642347506620378,0.64758064732338,"C2",4,4,"R04_F04","C2_R04_F04"
"ANN_L2","64-32",0.000125,0,0.001,0.818279268650014,0.639709564565942,0.647931350776453,"C2",4,4,"R04_F04","C2_R04_F04"
"ANN_L1_L2","64-32",0.000125,0.001,1e-04,0.816551124375825,0.642541746974937,0.647542793576128,"C2",4,4,"R04_F04","C2_R04_F04"
"ANN_0","32-16",0.000125,0,0,0.83789381132268,0.629453078423915,0.662485765093719,"C2",4,5,"R04_F05","C2_R04_F05"
